,true,pred
0,-0.5185129046440125,-0.5185041427612305
1,-0.48992446064949036,-0.4899144768714905
2,-0.4618123769760132,-0.46179091930389404
3,-0.4343930184841156,-0.4343551993370056
4,-0.4078482687473297,-0.40779489278793335
5,-0.3823263347148895,-0.3822630047798157
6,-0.35794365406036377,-0.35787928104400635
7,-0.3347873389720917,-0.3347315788269043
8,-0.3129179775714874,-0.3128790259361267
9,-0.29237258434295654,-0.29235512018203735
10,-0.27316778898239136,-0.27317196130752563
11,-0.2553028464317322,-0.2553243041038513
12,-0.23876246809959412,-0.23879306018352509
13,-0.22351951897144318,-0.2235492616891861
14,-0.2095375657081604,-0.20955677330493927
15,-0.196772962808609,-0.1967744082212448
16,-0.18517687916755676,-0.18515752255916595
17,-0.17469696700572968,-0.1746588945388794
18,-0.1652788370847702,-0.1652292013168335
19,-0.15686729550361633,-0.15681754052639008
20,-0.14940738677978516,-0.14937154948711395
21,-0.14284519851207733,-0.1428377330303192
22,-0.13712860643863678,-0.13716213405132294
23,-0.13220779597759247,-0.1322910636663437
24,-0.12803569436073303,-0.12817201018333435
25,-0.12456829845905304,-0.12475456297397614
26,-0.12176484614610672,-0.12199178338050842
27,-0.11958803981542587,-0.11984087526798248
28,-0.11800411343574524,-0.11826403439044952
29,-0.11698286235332489,-0.11722911894321442
30,-0.11649766564369202,-0.11670972406864166
31,-0.11652544885873795,-0.1166851818561554
32,-0.11704663932323456,-0.11714018881320953
33,-0.11804512143135071,-0.11806423962116241
34,-0.11950813233852386,-0.11945083737373352
35,-0.12142619490623474,-0.12129676342010498
36,-0.12379305064678192,-0.12360121309757233
37,-0.1266055554151535,-0.12636543810367584
38,-0.12986360490322113,-0.12959207594394684
39,-0.1335700899362564,-0.13328495621681213
40,-0.13773076236248016,-0.13744935393333435
41,-0.14235424995422363,-0.14209173619747162
42,-0.1474519520998001,-0.1472204029560089
43,-0.1530379354953766,-0.15284569561481476
44,-0.15912897884845734,-0.1589803248643875
45,-0.16574445366859436,-0.16563983261585236
46,-0.17290623486042023,-0.17284263670444489
47,-0.18063871562480927,-0.18061037361621857
48,-0.18896861374378204,-0.18896789848804474
49,-0.19792494177818298,-0.19794292747974396
50,-0.20753884315490723,-0.20756636559963226
51,-0.2178434431552887,-0.21787147223949432
52,-0.22887353599071503,-0.22889401018619537
53,-0.24066543579101562,-0.24067135155200958
54,-0.25325649976730347,-0.2532423734664917
55,-0.2666846811771393,-0.2666465640068054
56,-0.28098800778388977,-0.28092360496520996
57,-0.29620376229286194,-0.29611217975616455
58,-0.3123677372932434,-0.31224948167800903
59,-0.32951295375823975,-0.32936978340148926
60,-0.34766852855682373,-0.347503125667572
61,-0.36685794591903687,-0.36667400598526
62,-0.3870972990989685,-0.38689911365509033
63,-0.4083930253982544,-0.4081854820251465
64,-0.4307394027709961,-0.43052804470062256
65,-0.4541156589984894,-0.45390623807907104
