,map_fea_num,map_num,enh_fea_num,enh_num,mse
0,10,1,10,1,1.82E-06
1,10,1,10,2,2.87E-06
2,10,1,10,3,2.63E-06
3,10,1,10,4,2.83E-06
4,10,1,10,5,1.67E-06
5,10,1,10,6,1.34E-06
6,10,1,10,7,5.64E-06
7,10,2,10,1,1.39E-06
8,10,2,10,2,2.09E-06
9,10,2,10,3,1.02E-06
10,10,2,10,4,1.67E-06
11,10,2,10,5,7.78E-07
12,10,2,10,6,3.42E-06
13,10,2,10,7,9.27E-07
14,10,3,10,1,3.70E-06
15,10,3,10,2,1.23E-06
16,10,3,10,3,8.58E-07
17,10,3,10,4,4.04E-07
18,10,3,10,5,1.87E-06
19,10,3,10,6,1.06E-06
20,10,3,10,7,1.08E-06
21,10,4,10,1,3.46E-06
22,10,4,10,2,1.71E-06
23,10,4,10,3,5.52E-06
24,10,4,10,4,1.80E-06
25,10,4,10,5,1.11E-06
26,10,4,10,6,8.34E-07
27,10,4,10,7,2.44E-07
28,10,5,10,1,1.43E-06
29,10,5,10,2,2.22E-06
30,10,5,10,3,3.03E-06
31,10,5,10,4,1.03E-06
32,10,5,10,5,7.27E-07
33,10,5,10,6,4.38E-07
34,10,5,10,7,8.55E-07
35,10,6,10,1,2.16E-06
36,10,6,10,2,1.39E-06
37,10,6,10,3,9.68E-07
38,10,6,10,4,4.94E-07
39,10,6,10,5,4.84E-07
40,10,6,10,6,2.19E-07
41,10,6,10,7,1.33E-06
42,10,7,10,1,5.48E-06
43,10,7,10,2,1.04E-06
44,10,7,10,3,3.75E-06
45,10,7,10,4,3.30E-07
46,10,7,10,5,4.96E-07
47,10,7,10,6,6.49E-07
48,10,7,10,7,7.17E-07
