,map_fea_num,map_num,enh_fea_num,enh_num,mse
73,40,5,5,5,1.1656342433430128e-07
27,15,5,1,5,1.4677724619652825e-07
36,20,5,1,5,1.7430990021221517e-07
19,10,5,5,5,2.0018811471420623e-07
74,40,5,10,5,2.0770368289098567e-07
59,30,5,25,5,2.136276875339132e-07
66,35,5,15,5,2.2854710799540515e-07
43,20,5,35,5,2.410417316264757e-07
49,25,5,20,5,3.0218970536172105e-07
37,20,5,5,5,3.43175560720462e-07
29,15,5,10,5,3.531096127167822e-07
47,25,5,10,5,3.531493780716209e-07
31,15,5,20,5,3.7729498346293917e-07
18,10,5,1,5,3.7734628235006277e-07
79,40,5,35,5,3.88341392065782e-07
62,30,5,40,5,3.898735922442052e-07
26,10,5,40,5,3.9009657316936587e-07
57,30,5,15,5,4.44842609465922e-07
35,15,5,40,5,4.4540857730792495e-07
65,35,5,10,5,4.758291171656795e-07
12,5,5,15,5,4.831288925947119e-07
38,20,5,10,5,5.043070611514127e-07
22,10,5,20,5,5.074134946827012e-07
45,25,5,1,5,5.318701487250834e-07
75,40,5,15,5,5.358660987502851e-07
51,25,5,30,5,5.475334768929747e-07
69,35,5,30,5,5.704056652851817e-07
40,20,5,20,5,5.954026753631318e-07
56,30,5,10,5,5.97205802724696e-07
39,20,5,15,5,6.038719248147829e-07
34,15,5,35,5,6.181424923430356e-07
76,40,5,20,5,6.342773948534514e-07
63,35,5,1,5,6.682041405875001e-07
41,20,5,25,5,6.730188582483321e-07
52,25,5,35,5,6.94402936781774e-07
58,30,5,20,5,7.053377850752579e-07
16,5,5,35,5,7.303694864003739e-07
67,35,5,20,5,7.36329512703808e-07
20,10,5,10,5,7.378770706042772e-07
1,1,5,5,5,7.504215265599935e-07
25,10,5,35,5,8.051007842366573e-07
48,25,5,15,5,9.325215828581876e-07
24,10,5,30,5,9.374972528809868e-07
71,35,5,40,5,9.380002035406979e-07
77,40,5,25,5,9.810230199099673e-07
28,15,5,5,5,1.00040266705388e-06
3,1,5,15,5,1.0129177222274427e-06
15,5,5,30,5,1.0161626774923158e-06
42,20,5,30,5,1.024200248547666e-06
60,30,5,30,5,1.0416634672771005e-06
53,25,5,40,5,1.050108569992552e-06
44,20,5,40,5,1.0581784669084247e-06
30,15,5,15,5,1.0643800654241879e-06
72,40,5,1,5,1.1120454767078207e-06
54,30,5,1,5,1.1218084500782855e-06
70,35,5,35,5,1.1377030902106786e-06
13,5,5,20,5,1.154952485545891e-06
78,40,5,30,5,1.2438232161403654e-06
10,5,5,5,5,1.290667445979298e-06
50,25,5,25,5,1.3451485395556115e-06
9,5,5,1,5,1.385652411122806e-06
33,15,5,30,5,1.4755500578324728e-06
32,15,5,25,5,1.4868067946555474e-06
23,10,5,25,5,1.6076590695490639e-06
11,5,5,10,5,1.720685738349486e-06
68,35,5,25,5,1.907182138305321e-06
80,40,5,40,5,1.9212483823127194e-06
46,25,5,5,5,2.150700877195304e-06
21,10,5,15,5,2.181190866099755e-06
7,1,5,35,5,2.543694921849744e-06
17,5,5,40,5,2.771676924038341e-06
0,1,5,1,5,3.2356377947918484e-06
2,1,5,10,5,3.2701388274356927e-06
5,1,5,25,5,3.5849441502397997e-06
64,35,5,5,5,3.7085178379409316e-06
55,30,5,5,5,4.535101887892258e-06
14,5,5,25,5,4.799319657127816e-06
4,1,5,20,5,5.113060928585231e-06
61,30,5,35,5,5.562004024715839e-06
6,1,5,30,5,9.578587925646307e-06
8,1,5,40,5,1.89716137546263e-05
