,map_fea_num,map_num,enh_fea_num,enh_num,mse
40,10,6,10,6,0.0006688454210728278
48,10,7,10,7,0.0006765604464178116
24,10,4,10,4,0.0007184334158371772
32,10,5,10,5,0.0007192364339319013
31,10,5,10,4,0.0007240538514662554
46,10,7,10,5,0.0007257750431347332
18,10,3,10,5,0.0007280125995363176
25,10,4,10,5,0.0007284686441492822
41,10,6,10,7,0.0007374194781707449
20,10,3,10,7,0.0007500938999593114
28,10,5,10,1,0.0007524880758763054
47,10,7,10,6,0.0007599589416143644
43,10,7,10,2,0.0007637715786325117
21,10,4,10,1,0.0007661169808081659
12,10,2,10,6,0.000777329091874386
45,10,7,10,4,0.0007815758280760946
27,10,4,10,7,0.0007832920052114057
39,10,6,10,5,0.0007941730198441796
34,10,5,10,7,0.0008053524696027171
6,10,1,10,7,0.0008112982494245122
16,10,3,10,3,0.0008129509412587228
19,10,3,10,6,0.0008165200942261613
35,10,6,10,1,0.0008251912970975618
38,10,6,10,4,0.0008311096934135387
15,10,3,10,2,0.0008345407097202655
9,10,2,10,3,0.000835137810771012
37,10,6,10,3,0.0008388848140849514
2,10,1,10,3,0.0008496526155165135
1,10,1,10,2,0.000855648911404855
3,10,1,10,4,0.0008572306248668852
8,10,2,10,2,0.0008692865815966492
30,10,5,10,3,0.0008696171821538492
29,10,5,10,2,0.000884174461301082
14,10,3,10,1,0.0008913905855038118
22,10,4,10,2,0.0008925747155695323
36,10,6,10,2,0.0009294596462865866
13,10,2,10,7,0.000962111190658247
42,10,7,10,1,0.0009684350530924812
0,10,1,10,1,0.0010524224104616294
10,10,2,10,4,0.0010773226572560355
33,10,5,10,6,0.0011033354085326485
26,10,4,10,6,0.001118610665193438
4,10,1,10,5,0.0011880404570546966
23,10,4,10,3,0.0012957818210798618
5,10,1,10,6,0.0013046241700864685
11,10,2,10,5,0.001452422661992078
7,10,2,10,1,0.0015350167712536115
44,10,7,10,3,0.0016533341414150273
17,10,3,10,4,0.0019257690740429158
