,map_fea_num,map_num,enh_fea_num,enh_num,mse
77,40,5,25,5,0.0006830206450707102
40,20,5,20,5,0.000688605157146685
48,25,5,15,5,0.0006896774703795501
72,40,5,1,5,0.0006987519340942247
42,20,5,30,5,0.000709789862275
64,35,5,5,5,0.000715067561450741
41,20,5,25,5,0.0007151870144186563
52,25,5,35,5,0.0007219443298736933
73,40,5,5,5,0.0007343489851013152
80,40,5,40,5,0.0007364510615679558
76,40,5,20,5,0.0007394738643226395
20,10,5,10,5,0.0007406839955366722
55,30,5,5,5,0.0007585866786420963
61,30,5,35,5,0.0007610532886764443
23,10,5,25,5,0.0007742765404494115
71,35,5,40,5,0.0007754219114164742
10,5,5,5,5,0.0007754861888964992
50,25,5,25,5,0.0007840718742364127
67,35,5,20,5,0.000787087537011009
47,25,5,10,5,0.0007880077442552653
60,30,5,30,5,0.0007896025688076007
62,30,5,40,5,0.0007910833496051757
5,1,5,25,5,0.0007968798070660532
4,1,5,20,5,0.000799026207430085
26,10,5,40,5,0.0007995609560656749
53,25,5,40,5,0.0008060283892213721
44,20,5,40,5,0.000807145767135415
45,25,5,1,5,0.0008087221145057093
22,10,5,20,5,0.0008123908493257697
37,20,5,5,5,0.0008224171380886166
34,15,5,35,5,0.0008229284577409332
39,20,5,15,5,0.0008309537994579365
18,10,5,1,5,0.0008418862342696187
35,15,5,40,5,0.0008422339391730343
58,30,5,20,5,0.000846205559685226
38,20,5,10,5,0.0008464077911686557
19,10,5,5,5,0.0008468104839382015
49,25,5,20,5,0.0008501697732650351
54,30,5,1,5,0.0008540810971196318
57,30,5,15,5,0.0008601355154813325
29,15,5,10,5,0.0008653365222411151
75,40,5,15,5,0.0008674114775245232
79,40,5,35,5,0.0008734220514968505
27,15,5,1,5,0.0008787980330244884
74,40,5,10,5,0.0008946213014344453
68,35,5,25,5,0.0009151096506620967
65,35,5,10,5,0.0009165850954789794
1,1,5,5,5,0.0009257941902384007
69,35,5,30,5,0.0009276174405831049
30,15,5,15,5,0.0009278369693792197
33,15,5,30,5,0.0009279144135880626
11,5,5,10,5,0.0009338150997487887
21,10,5,15,5,0.0009369740806904061
15,5,5,30,5,0.0009498715429762977
24,10,5,30,5,0.0009629757889601304
63,35,5,1,5,0.0009699378774153277
16,5,5,35,5,0.000974162237038926
28,15,5,5,5,0.0009884203541310995
59,30,5,25,5,0.0009895454081242986
78,40,5,30,5,0.0009948008868353104
51,25,5,30,5,0.001019782374372775
25,10,5,35,5,0.0010419880278769648
31,15,5,20,5,0.0010519364376515921
70,35,5,35,5,0.0010542266496130868
66,35,5,15,5,0.0010639433957228283
6,1,5,30,5,0.0010926710400248002
0,1,5,1,5,0.0012366835604463815
32,15,5,25,5,0.0012417909548697462
17,5,5,40,5,0.0013045165576754784
2,1,5,10,5,0.0013339990698127706
36,20,5,1,5,0.0013855248335878875
43,20,5,35,5,0.0014712690675406249
8,1,5,40,5,0.001585365790440198
13,5,5,20,5,0.001609702336337806
7,1,5,35,5,0.0016471363962701393
12,5,5,15,5,0.001657420206237003
56,30,5,10,5,0.0016849929588769815
14,5,5,25,5,0.0017188886556994969
9,5,5,1,5,0.0019485897638814743
3,1,5,15,5,0.0019629848894508525
46,25,5,5,5,0.0019914047148895135
