,map_fea_num,map_num,enh_fea_num,enh_num,mse
0,10,1,10,1,1.4686255444670276e-06
1,10,1,10,2,4.409264314413859e-06
2,10,1,10,3,9.414495114577632e-07
3,10,1,10,4,1.6006138178766776e-06
4,10,1,10,5,5.723527099981487e-07
5,10,1,10,6,4.401979687186175e-07
6,10,1,10,7,2.2733166029731375e-07
7,10,2,10,1,3.039838698202069e-07
8,10,2,10,2,1.1622907403751225e-06
9,10,2,10,3,6.11960224291909e-07
10,10,2,10,4,8.499247507470868e-07
11,10,2,10,5,2.9027573051171184e-06
12,10,2,10,6,3.6158148531572235e-07
13,10,2,10,7,1.2228934273073054e-06
14,10,3,10,1,2.869295872361476e-07
15,10,3,10,2,2.2446776025482994e-07
16,10,3,10,3,5.693992228654932e-07
17,10,3,10,4,2.4864794080949665e-06
18,10,3,10,5,1.1111819505521283e-06
19,10,3,10,6,1.4126816915535079e-06
20,10,3,10,7,8.101846817716776e-08
21,10,4,10,1,9.589176836549567e-07
22,10,4,10,2,5.454689382927025e-07
23,10,4,10,3,9.727611575326434e-07
24,10,4,10,4,1.889771500671414e-07
25,10,4,10,5,5.94456477023955e-07
26,10,4,10,6,1.6879672224839926e-06
27,10,4,10,7,3.1261547564384954e-07
28,10,5,10,1,5.803468149140282e-08
29,10,5,10,2,2.6246186881292787e-06
30,10,5,10,3,2.0290426661909044e-07
31,10,5,10,4,2.905659425179739e-08
32,10,5,10,5,4.102184627404443e-07
33,10,5,10,6,2.7401098162208278e-08
34,10,5,10,7,4.4900418787142274e-07
35,10,6,10,1,1.4352795772192403e-06
36,10,6,10,2,2.671493380293055e-06
37,10,6,10,3,1.2074615983260605e-07
38,10,6,10,4,2.7465940622195865e-06
39,10,6,10,5,5.1537583669795734e-08
40,10,6,10,6,1.702061226141e-07
41,10,6,10,7,2.2958560499301735e-07
42,10,7,10,1,7.827812805076891e-07
43,10,7,10,2,6.068243100085667e-07
44,10,7,10,3,5.096233226990517e-07
45,10,7,10,4,6.840199867983437e-07
46,10,7,10,5,6.513608705005418e-07
47,10,7,10,6,9.026254374331715e-07
48,10,7,10,7,2.601420738008302e-07
