,map_fea_num,map_num,enh_fea_num,enh_num,mse
55,30,5,5,5,1.596895203132999e-06
71,35,5,40,5,1.7518139400078055e-06
61,30,5,35,5,2.5702675224211002e-06
60,30,5,30,5,2.7390466381434145e-06
42,20,5,30,5,2.7713420326776633e-06
46,25,5,5,5,2.8277810436106157e-06
38,20,5,10,5,2.841126854917819e-06
52,25,5,35,5,2.895821648652686e-06
78,40,5,30,5,2.9958046816017543e-06
36,20,5,1,5,3.2216469917923202e-06
67,35,5,20,5,3.3747109797599797e-06
65,35,5,10,5,3.527931296352406e-06
49,25,5,20,5,3.6951115812152077e-06
62,30,5,40,5,3.847474465237839e-06
77,40,5,25,5,3.854543027800599e-06
16,5,5,35,5,3.868150400832505e-06
69,35,5,30,5,4.392414478826426e-06
26,10,5,40,5,4.447561153130195e-06
15,5,5,30,5,4.504089507162882e-06
64,35,5,5,5,4.710602556044221e-06
13,5,5,20,5,4.7855641159955965e-06
48,25,5,15,5,4.920292333819276e-06
23,10,5,25,5,4.940891720188197e-06
68,35,5,25,5,4.98122780298135e-06
17,5,5,40,5,5.259963560165147e-06
44,20,5,40,5,5.5064282294222994e-06
70,35,5,35,5,5.547575591058557e-06
12,5,5,15,5,5.593905779472463e-06
43,20,5,35,5,5.649664192534576e-06
31,15,5,20,5,5.698646273851919e-06
76,40,5,20,5,5.900936771405827e-06
20,10,5,10,5,5.926353290692406e-06
51,25,5,30,5,6.410952436315379e-06
47,25,5,10,5,6.793771534638445e-06
11,5,5,10,5,7.204830413086094e-06
79,40,5,35,5,7.206325274992052e-06
28,15,5,5,5,7.440522971430828e-06
63,35,5,1,5,7.636185062122588e-06
66,35,5,15,5,7.883756165720135e-06
29,15,5,10,5,7.959601138856314e-06
30,15,5,15,5,8.231755414549132e-06
9,5,5,1,5,8.468597908532939e-06
57,30,5,15,5,8.53956342258788e-06
21,10,5,15,5,8.87826631970375e-06
24,10,5,30,5,8.945624485660696e-06
34,15,5,35,5,8.9930029368541e-06
59,30,5,25,5,9.053224998983152e-06
41,20,5,25,5,9.145254714898778e-06
35,15,5,40,5,9.52216931984456e-06
58,30,5,20,5,9.544039892424473e-06
75,40,5,15,5,9.734747801557153e-06
18,10,5,1,5,9.929490855903425e-06
80,40,5,40,5,1.0024503816116262e-05
32,15,5,25,5,1.0175974267151997e-05
25,10,5,35,5,1.0369475468826844e-05
53,25,5,40,5,1.0386099259499286e-05
33,15,5,30,5,1.0491144458233102e-05
72,40,5,1,5,1.0651119565930084e-05
45,25,5,1,5,1.1221164957718175e-05
54,30,5,1,5,1.3296588634168553e-05
40,20,5,20,5,1.3571857442631483e-05
73,40,5,5,5,1.3801038465703752e-05
37,20,5,5,5,1.4781815344531026e-05
14,5,5,25,5,1.5239239501339377e-05
50,25,5,25,5,1.5465580230262856e-05
74,40,5,10,5,1.6084406837929956e-05
10,5,5,5,5,1.6128983001900523e-05
2,1,5,10,5,1.6900772840773383e-05
27,15,5,1,5,1.7285833581234523e-05
22,10,5,20,5,1.847189120740886e-05
5,1,5,25,5,1.8773690702374572e-05
8,1,5,40,5,2.2686352814917143e-05
56,30,5,10,5,2.4330270913739612e-05
3,1,5,15,5,2.4349774566135572e-05
7,1,5,35,5,2.54448750182944e-05
39,20,5,15,5,2.7658918721893197e-05
19,10,5,5,5,2.9223363037353144e-05
4,1,5,20,5,3.199610467802711e-05
6,1,5,30,5,3.320761269196153e-05
0,1,5,1,5,3.432668559000026e-05
1,1,5,5,5,5.17502439837957e-05
